Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,label
-3.5681505,0.9200384,0.89459175,-3.088205,-3.589948,0.90200186,0.61065954,-3.0727072,-3.1974475,0.59240544,0.49534553,-3.045223,-2.8368018,0.9251063,0.84346837,-2.9369602,-2.9958327,0.5151837,0.58264893,-3.177581,1
-3.5681505,0.7731581,0.4869091,-3.088205,-3.589948,0.63294375,0.2369662,-3.0727072,-3.1974475,0.7774658,0.59200066,-3.045223,-2.8368018,0.76839143,0.7240837,-2.9369602,-2.9958327,0.46643904,0.51888156,-3.177581,1
-3.5681505,0.67618734,0.35222474,-3.088205,-3.589948,0.45040447,0.25518632,-3.0727072,-3.1974475,0.760357,0.7023543,-3.045223,-2.8368018,0.6670942,0.64543563,-2.9369602,-2.9958327,0.38329357,0.43030334,-3.177581,1
-3.5681505,0.2824199,0.3679687,-3.088205,-3.589948,0.064952984,0.42161807,-3.0727072,-3.1974475,0.21508752,0.7314614,-3.045223,-2.8368018,0.6904895,0.59791005,-2.9369602,-2.9958327,0.27493054,0.49187723,-3.177581,1
-3.5681505,0.14564084,0.20587055,-3.088205,-3.589948,-0.51821536,-0.08412356,-3.0727072,-3.1974475,0.23295581,0.085365124,-3.045223,-2.8368018,0.6264902,0.8050151,-2.9369602,-2.9958327,0.2547535,0.4717185,-3.177581,1
-3.5681505,0.1732436,0.25860077,-3.088205,-3.589948,-0.41990894,0.022307893,-3.0727072,-3.1974475,0.3548032,0.348573,-3.045223,-2.8368018,0.6234846,0.7065292,-2.9369602,-2.9958327,0.27729037,0.5670672,-3.177581,1
-3.5681505,-0.04256137,0.4845251,-3.088205,-3.589948,-0.017870924,-0.08852963,-3.0727072,-3.1974475,0.21813296,0.2977096,-3.045223,-2.8368018,0.64284104,0.9356472,-2.9369602,-2.9958327,0.24236952,0.53156716,-3.177581,1
-3.5681505,0.54516804,0.5323923,-3.088205,-3.589948,0.21432728,0.41130266,-3.0727072,-3.1974475,0.5102592,0.8164291,-3.045223,-2.8368018,0.7911398,0.87758225,-2.9369602,-2.9958327,0.32873145,0.6474721,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
-3.5681505,0.36941904,0.9358569,-3.088205,-3.589948,0.4850339,0.11914615,-3.0727072,-3.1974475,0.5950929,0.35176042,-3.045223,-2.8368018,0.9411088,0.7981353,-2.9369602,-2.9958327,0.7294072,0.6905784,-3.177581,1
